Epoch,AverageEpRet,StdEpRet,MaxEpRet,MinEpRet,AverageEpCost,StdEpCost,MaxEpCost,MinEpCost,EpLen,CumulativeCost,CostRate,AverageVVals,StdVVals,MaxVVals,MinVVals,AverageCostVVals,StdCostVVals,MaxCostVVals,MinCostVVals,LossPi,DeltaLossPi,SurrCost,DeltaSurrCost,LossV,DeltaLossV,LossVC,DeltaLossVC,Penalty,DeltaPenalty,Optim_A,Optim_B,Optim_c,Optim_q,Optim_r,Optim_s,Optim_Lam,Optim_Nu,OptimCase,Margin,BacktrackIters,Entropy,KL,TotalEnvInteracts,Time,ViolationsPerEpoch,ViolationRate
10,40.567009999999996,17.527538,106.0,12.0,0.3541608,0.33808535,2.2238493,0.04699147,40.567009999999996,731.823,0.0166323408647017,22.034819,2.8593595,25.241713,6.500293,0.32179633,0.0942824,0.95112145,-0.058505137,-1.4305113999999998e-08,-0.014628589,4.0978194e-09,0.0013173610999999998,156.02664,-16.420792000000002,0.093899325,-0.025801487,0.0,0.0,0.010979735,-0.02745151,-0.0035950202,0.022581222999999997,-0.0020008914,0.00034509075,1.502705,0.0,3.0,0.0,0.0,0.63979006,0.0039360409999999995,44000,52.89557075500488,0,0.0
11,47.61905,19.054998,107.0,18.0,0.5096183,0.46955192,2.7479548,0.037012614,47.61905,774.6309,0.016138144175211592,20.643263,3.9400482000000006,25.124123,2.2360382000000003,0.17948256,0.07894646,0.47321936,-0.16320792,-2.0861626e-09,-0.0076014525,-1.6093255e-09,-0.00019176822,165.06968999999998,-27.128937,0.11691612,-0.017272778,7.5010295,0.0,0.008999179,0.009889945,0.00020198392,0.027067676000000002,-0.0025880605,0.0003707036,0.9539036,7.5010295,1.0,0.0,0.0,0.6264004,0.004179883,48000,55.15252375602722,0,0.0
12,52.613335,22.314058,171.0,19.0,0.47992712,0.4523456,2.8375173,0.03567857,52.613335,812.1599,0.015618459848257212,22.148285,4.5652523,26.217249,3.6119287000000004,0.28051329999999997,0.057334475,0.46785328,0.024264496,2.8371812000000004e-08,-0.00752774,7.301569e-10,0.00031579388,185.47287,-35.195953,0.10490838400000001,-0.00034064800000000004,5.53742,0.0,0.005727632,0.009721377,-0.00038151693,0.025154294,-0.003185695,0.0005224084599999999,0.76758003,5.53742,2.0,0.0,1.0,0.6069941,0.0025720543,52000,60.128865242004395,0,0.0
13,56.02816800000001,23.768232,131.0,26.0,0.5420464,0.5220208,2.566891,0.0135009065,56.02816800000001,851.0933,0.015198095049176897,23.115906,6.2112765,28.620358000000003,0.8517190999999998,0.26757714,0.04786206,0.43104878,0.03303653,9.6559525e-09,0.0015040548000000002,-9.238720000000001e-10,-0.00076299725,164.91498,-32.198166,0.111298904,-0.0042790696,7.760697,0.0,0.0018583644,0.008629934,0.0007504516000000001,0.021506647,-0.0028419359999999998,0.00041105883,0.46404672,7.760697,1.0,0.0,0.0,0.59289634,0.0036278625,56000,64.85427355766296,0,0.0
14,54.575343999999994,15.657217000000001,104.0,25.0,0.42814064,0.373571,2.134029,0.03043059,54.575343999999994,882.50385,0.014708397420247397,24.192863,7.90993,31.008314000000002,-0.6544517,0.32628557,0.07275637,0.5313473000000001,0.085001335,-9.417533999999999e-09,-0.010391188,-2.9206275e-09,0.0010625891,76.77421600000001,-11.52845,0.069568515,-0.011733592,2.185403,0.0,0.004857946,0.0047059203,-0.0013167001000000001,0.017734623,-0.0020534943,0.00032747882999999996,1.0160242,2.185403,2.0,0.0,1.0,0.57155997,0.0024681448,60000,69.57878494262695,0,0.0
15,59.892306999999995,20.15717,136.0,28.0,0.67660123,0.6501556,3.6073446000000002,0.06340778,59.892306999999995,927.2438,0.014488183975219724,23.582937,8.898989,31.998115999999996,0.5770867,0.21327116,0.06522483400000001,0.3830774,-0.063061856,2.2411346000000002e-08,0.012539069,8.076429e-09,-0.0020760775,124.11463,-21.228348,0.17904623,-0.02454409,4.838067,0.0,0.00426362,-0.010351634,0.0029486462,0.019387744,-0.0025418983,0.00042721459999999997,0.0,4.838067,0.0,0.0,0.0,0.563825,0.003942782,64000,74.32624053955078,0,0.0
16,59.447759999999995,20.552288,129.0,28.0,0.48522273,0.39744776,2.2944913,0.024628967,59.447759999999995,960.0432,0.014118282542509191,26.223709999999997,9.823124,34.718371999999995,-0.2707502,0.37130913,0.060580145999999994,0.5620276999999999,0.14540145,1.3351441000000002e-08,-0.0058678540000000005,2.2947788e-09,0.00021201409,91.001595,-11.430611,0.07775074,-0.024234667,6.541566,0.0,0.002133095,0.009812105,-0.00024857576,0.017763518,-0.0022671842000000003,0.0003288538,0.46625552,6.541566,2.0,0.0,0.0,0.56890196,0.00336344,68000,78.83432245254518,0,0.0
17,60.53846,18.948576,121.0,30.0,0.5092952000000001,0.41561085,2.648295,0.027054442,60.53846,993.22864,0.013794842190212674,25.136786999999998,10.722577000000001,35.36738,1.2839174,0.21683726,0.06241735,0.3952179,-0.017420812,-3.051758e-08,-0.004196283,1.5497208e-09,-0.00016386984,71.07356,-7.356758,0.0625237,-0.0037994757,6.202214700000001,0.0,0.0030177186999999998,0.009907134,0.00015354248,0.011761058999999999,-0.0014898375,0.0002538636,0.5519063,6.202214700000001,1.0,0.0,0.0,0.5481995,0.0035158182,72000,83.41811418533325,0,0.0
18,65.86667,23.152729,128.0,29.0,0.4892646,0.29140288,1.5134425,0.047472857,65.86667,1023.30695,0.013464565076326068,25.846088,11.520889,36.7402,0.9779984,0.27122918,0.057181876,0.42895764,0.06715007,5.4836273e-09,-0.004622834,2.0861626e-10,0.00015693171,83.91624499999999,-11.880531,0.035953276,-0.0029863268,6.433258,0.0,0.0012095468,0.009883467,-0.00016298672,0.011392757,-0.0015235973000000001,0.00022795842999999996,0.3498297,6.433258,2.0,0.0,0.0,0.5243905,0.003297392,76000,85.68379044532777,0,0.0
19,69.052635,25.297821,159.0,39.0,0.5862712,0.31309736,1.5989108,0.0822784,69.052635,1056.9048,0.013211309814453127,27.245207,12.272956,38.657109999999996,1.4420358,0.24028364,0.019155501999999998,0.31731516,0.1018414,-1.4424324e-08,0.006469844000000001,-3.5762787e-10,-0.0010676153,92.316925,-15.045204,0.03148534,-0.0025223010000000002,9.42118,0.0,0.0007789028999999999,-0.003855447,0.0012493546,0.00492528,-0.00068345485,0.00011265511,0.0,9.42118,0.0,0.0,0.0,0.5145798,0.0043364638,80000,90.47284960746764,0,0.0
20,66.03333,20.499567000000003,137.0,33.0,0.38459313,0.18149078,0.84774166,0.035799444,66.03333,1080.0675,0.01285794648670015,29.685625,12.617450999999999,40.68813,2.1191568,0.2769231,0.02695502,0.36767940000000005,0.18697786,4.6640634e-09,-0.0077790640000000005,-1.1995435e-09,0.00055058807,63.348335,-10.941219,0.02785293,-0.014480103000000001,0.0,0.0,0.0006662225999999999,-0.08423055,-0.0017477063,0.006198374,-0.00042346705000000003,3.2414937e-05,0.78729755,0.0,3.0,0.0,0.0,0.5188765999999999,0.0040993528,84000,95.13911056518556,0,0.0
21,64.048386,16.518248,114.0,39.0,0.48133805,0.2993635,1.3346676000000002,0.045022837999999996,64.048386,1110.212,0.012616045865145595,26.318953999999998,13.211996,40.6659,0.44663679999999994,0.15840437,0.01849147,0.22652888,0.08538205,-7.867813e-09,-0.008396789,9.0897084e-10,0.00027267957999999997,37.761109999999995,-2.2081375,0.03884046,-0.0063531436,8.223400999999999,0.0,0.0040369737,0.009448096,-0.00029137262000000004,0.017809298,-0.0014555285000000002,0.00015382758,0.65366584,8.223400999999999,2.0,0.0,0.0,0.50138164,0.0036160436,88000,99.6506769657135,0,0.0
22,69.929825,19.160320000000002,125.0,40.0,0.5975351999999999,0.30483222,1.5094448,0.036582332,69.929825,1144.2877,0.012437909997027851,27.487364000000003,13.411857000000001,41.424248,0.47853205,0.24079499999999998,0.022969782,0.29522082,0.16238111,-1.8835069e-08,0.010196058000000001,-6.556511e-10,-0.001294897,48.531079999999996,-4.6738434,0.03109439,-0.0019683838,7.930996,0.0,0.0007660986999999999,-0.0022371584,0.0013947580999999999,0.010554688999999999,-0.0012474372,0.00015897075000000002,0.0,7.930996,0.0,0.0,0.0,0.47781270000000003,0.0044244593,92000,104.25014591217041,0,0.0
23,64.683334,20.495115,133.0,33.0,0.4569102,0.2249288,1.0075905,0.07105982,64.683334,1172.072,0.012209083557128906,29.172386,13.422595999999999,42.769127000000005,1.2535536,0.2772136,0.037735406,0.37948114,0.16154201,-5.6028364e-09,-0.0076151392,2.2947788e-09,0.000543011,51.737312,-5.591736,0.02207293,-0.007332515,3.065226,0.0,0.0021128594,0.0038774456,-0.0006661655,0.009145371999999999,-0.0007139554,7.2482246e-05,0.7381803000000001,3.065226,2.0,0.0,1.0,0.48441502,0.0027220657,96000,108.8515408039093,0,0.0
24,68.43104,18.56128,126.0,39.0,0.5276848000000001,0.24866849,1.2066677,0.11215739999999999,68.43104,1203.1188,0.012031187744140623,27.49798,14.07376,42.943816999999996,-0.93833864,0.18857077,0.02268098,0.25607383,0.10996533,-1.3351441000000002e-08,0.0009555671000000001,-2.0861626e-10,-0.00039894565,37.892140000000005,-3.5482025,0.031827454,-0.0058548357,8.516903,0.0,0.00059188466,0.008985938,0.00040456507000000006,0.010599192,-0.0012709094,0.00016140314,0.25664738,8.516903,1.0,0.0,0.0,0.48116729999999996,0.0017431828,100000,113.96689200401306,0,0.0
